source_page,source_table,item name,count,amount,month
1,1,beef tossed ramen,286.0,"$4,248.69",june
1,1,lunch special,222.0,"$3,089.08",june
1,1,beef ramen,195.0,"$2,907.79",june
1,1,chicken rice noodle soup,153.0,"$2,196.39",june
1,1,beef tossed rice noodle,113.0,"$1,771.24",june
1,1,bf chicken cutlet combo,142.0,"$1,722.24",june
1,1,pork tossed ramen,134.0,"$1,769.95",june
1,1,chicken ramen,117.0,"$1,724.75",june
1,1,beef rice noodle soup,81.0,"$1,241.45",june
1,1,mai special fried chicken(8),127.0,"$1,283.91",june
1,1,chicken tossed rice noodles,78.0,"$1,176.77",june
1,1,sichuan chili wontons,103.0,"$1,187.40",june
1,1,chicken tossed ramen,81.0,"$1,138.02",june
1,1,house ramen,65.0,"$1,077.79",june
1,1,pork ramen,77.0,"$1,034.83",june
1,1,golden coconut crunch chicken(8),71.0,$715.74,june
2,1,mai's golden flake fried chicken(8),66.0,$660.27,june
2,1,chicken fried rice,47.0,$588.99,june
2,1,fried pork dumplings(10),63.0,$576.99,june
2,1,house fried rice,37.0,$560.07,june
2,1,mai og fried chicken wings(4),112.0,$566.58,june
2,1,cream cheese rangoon(6),95.0,$555.17,june
2,1,pork tossed rice noodle,43.0,$575.37,june
2,1,crispy pork egg roll(3),121.0,$482.76,june
2,1,crispy spring roll(3),119.0,$475.50,june
2,1,steam pork dumplings(10),54.0,$475.34,june
2,1,brown sugar milk tea w. boba (24oz),103.0,$441.87,june
2,1,pork rice noodle soup,29.0,$389.42,june
2,1,tempura shrimp(3),83.0,$407.11,june
2,1,vegetable ramen,25.0,$362.99,june
2,1,"mai's wing wheel (mai og, onion, honey, coco, special)",24.0,$302.59,june
2,1,onion glory fried chicken(8),31.0,$307.44,june
2,1,house rice noodle soup,20.0,$339.85,june
2,1,dr. pepper,90.0,$268.22,june
2,1,spicy cucumber salad,47.0,$252.68,june
2,1,golden kiwi,62.0,$226.72,june
2,1,shrimp fried rice,18.0,$249.85,june
2,1,citrus honey fried chicken  (8),24.0,$241.80,june
3,1,unsweet ice tea,79.0,$232.93,june
3,1,beef fried rice,18.0,$243.61,june
3,1,strawberry sunrise tea,62.0,$235.51,june
3,1,pepsi,75.0,$216.23,june
3,1,bf chicken cutlet,33.0,$222.28,june
3,1,sweet ice tea,76.0,$220.93,june
3,1,mai buffalo chicken wings(8),21.0,$207.85,june
3,1,vegetable rice noodle soup,15.0,$198.84,june
3,1,specialty drink,72.0,$212.94,june
3,1,vegetable fried rice,14.0,$171.38,june
3,1,pork fried rice,12.0,$153.56,june
3,1,pork bun (3),28.0,$159.05,june
3,1,diet pepsi,55.0,$161.90,june
3,1,brown sugar rice cake (5),22.0,$119.12,june
3,1,jumbo chicken tender (3),21.0,$118.76,june
3,1,vegetable tossed rice noodle,8.0,$113.36,june
3,1,crispy french fries,36.0,$140.51,june
3,1,mai's wing wheel,8.0,$99.79,june
3,1,tangy honey mustard fried chicken (8),12.0,$111.70,june
3,1,sweet sesame ball (6) w. red bean,20.0,$94.80,june
3,1,milk tea(20oz),19.0,$95.35,june
3,1,thai milk tea w. boba (24oz)-1,19.0,$88.18,june
4,1,starry - sprite,28.0,$81.51,june
4,1,chili pepper fried chicken（8）,7.0,$69.00,june
4,1,wasabi spiced fried chicken (8),7.0,$68.93,june
4,1,vegetable tossed ramen,7.0,$99.05,june
4,1,braised chicken thigh,21.0,$66.77,june
4,1,thai milk tea w. boba (24oz),15.0,$65.55,june
4,1,lemonade,23.0,$64.11,june
4,1,mai bf chicken cutlet combo,5.0,$70.00,june
4,1,chili pepper fried chicken (8),4.0,$45.96,june
4,1,cream cheese wonton（6）,7.0,$38.93,june
4,1,brown sugar milk tea no boba (24oz),9.0,$35.56,june
4,1,rice noodle,25.0,$37.73,june
4,1,wasabi spiced fried chicken(8),3.0,$33.97,june
4,1,bottled soda,17.0,$32.61,june
4,1,white rice - dine in,35.0,$34.50,june
4,1,mango milk tea (24oz),7.0,$32.87,june
4,1,white rice,7.0,$26.60,june
4,1,plain fried rice,8.0,$29.99,june
4,1,hot tea,12.0,$29.36,june
4,1,orange crush,7.0,$22.13,june
4,1,mango milk tea,4.0,$19.62,june
4,1,house tossed rice noodle,1.0,$15.99,june
5,1,house tossed ramen,2.0,$31.98,june
5,1,thai milk tea no boba (24oz),5.0,$19.71,june
5,1,bottled water,7.0,$15.10,june
5,1,thai milk tea,4.0,$20.40,june
5,1,crispy french fries(lg),3.0,$14.37,june
5,1,pepsi zero,4.0,$14.36,june
5,1,braised chicken,4.0,$11.88,june
5,1,pork bun (1),5.0,$10.01,june
5,1,tangy honey mustard fried chicken(8),3.0,$33.97,june
5,1,ramen,6.0,$8.55,june
5,1,braised egg,4.0,$8.36,june
5,1,chunked beef,2.0,$7.87,june
5,1,strawberry milk tea  (24oz),3.0,$11.33,june
5,1,ramune - original,2.0,$5.98,june
5,1,braised pork,2.0,$5.87,june
5,1,mai‘s special sauce,6.0,$5.80,june
5,1,shrimp (8),2.0,$5.25,june
5,1,open food,1.0,$5.00,june
5,1,sweet tea,1.0,$3.59,june
5,1,ramune - melon,1.0,$3.59,june
5,1,北冰洋 orange soda,1.0,$3.59,june
5,1,ramune - strawberry,1.0,$2.99,june
6,1,mai‘s special sauce,2.0,$2.20,june
6,1,braised egg （2）,1.0,$1.94,june
6,1,white rice-to go,1.0,$1.75,june
6,1,add boba,1.0,$0.75,june
6,1,thai milk tea (24oz),1.0,$5.70,june
6,1,golden kiwi,9.0,$32.49,june
1,1,beef tossed ramen,321.0,"$4,564.29",july
1,1,beef ramen,273.0,"$3,986.72",july
1,1,lunch special,213.0,"$2,994.75",july
1,1,chicken rice noodle soup,173.0,"$2,486.42",july
1,1,chicken ramen,127.0,"$1,888.36",july
1,1,beef tossed rice noodle,112.0,"$1,798.91",july
1,1,pork tossed ramen,141.0,"$1,907.81",july
1,1,chicken tossed ramen,110.0,"$1,541.79",july
1,1,house ramen,84.0,"$1,428.07",july
1,1,mai special fried chicken(8),152.0,"$1,531.62",july
1,1,pork ramen,95.0,"$1,321.41",july
1,1,chicken tossed rice noodles,80.0,"$1,168.76",july
1,1,beef rice noodle soup,66.0,"$1,036.74",july
1,1,bf chicken cutlet combo,77.0,$943.49,july
1,1,sichuan chili wontons,82.0,$910.64,july
1,1,fried pork dumplings(10),85.0,$763.31,july
2,1,"mai's wing wheel (mai og, onion, honey, coco, special)",55.0,$696.19,july
2,1,cream cheese rangoon(6),110.0,$660.64,july
2,1,pork tossed rice noodle,48.0,$633.90,july
2,1,mai's golden flake fried chicken(8),67.0,$680.49,july
2,1,steam pork dumplings(10),71.0,$633.50,july
2,1,mai og fried chicken wings(4),116.0,$587.70,july
2,1,crispy spring roll(3),137.0,$549.00,july
2,1,vegetable ramen,39.0,$528.97,july
2,1,chicken fried rice,44.0,$571.13,july
2,1,golden coconut crunch chicken(8),52.0,$524.09,july
2,1,crispy pork egg roll(3),119.0,$477.61,july
2,1,pork rice noodle soup,33.0,$444.59,july
2,1,pork bun (3),74.0,$437.03,july
2,1,house fried rice,29.0,$419.20,july
2,1,brown sugar milk tea w. boba (24oz),101.0,$424.51,july
2,1,tempura shrimp(3),76.0,$376.69,july
2,1,dr. pepper,111.0,$327.63,july
2,1,house rice noodle soup,21.0,$339.32,july
2,1,citrus honey fried chicken  (8),28.0,$275.98,july
2,1,shrimp fried rice,19.0,$257.36,july
2,1,vegetable rice noodle soup,22.0,$314.18,july
2,1,beef fried rice,18.0,$247.79,july
3,1,mai bf chicken cutlet combo,16.0,$225.00,july
3,1,sweet ice tea,83.0,$238.63,july
3,1,steam pork bun （3）,37.0,$251.63,july
3,1,diet pepsi,67.0,$198.32,july
3,1,specialty drink,78.0,$224.43,july
3,1,unsweet ice tea,78.0,$218.33,july
3,1,thai milk tea w. boba (24oz),50.0,$200.73,july
3,1,pepsi,73.0,$208.47,july
3,1,onion glory fried chicken(8),19.0,$180.30,july
3,1,pork fried rice,13.0,$165.57,july
3,1,spicy cucumber salad,29.0,$152.92,july
3,1,vegetable tossed rice noodle,11.0,$161.14,july
3,1,milk tea(24oz),28.0,$152.95,july
3,1,golden kiwi (16oz),42.0,$161.82,july
3,1,strawberry sunrise（16oz),42.0,$152.64,july
3,1,strawberry sunrise tea,33.0,$122.66,july
3,1,mai buffalo chicken wings(8),14.0,$140.33,july
3,1,jumbo chicken tenders combo (3),10.0,$98.46,july
3,1,starry - sprite,35.0,$100.88,july
3,1,thai milk tea (24oz),17.0,$91.20,july
3,1,vegetable fried rice,7.0,$87.21,july
3,1,bf chicken cutlet,13.0,$85.12,july
4,1,jumbo chicken tender (3),17.0,$84.58,july
4,1,strawberry sunrise（24oz),20.0,$85.02,july
4,1,brown sugar rice cake (5),14.0,$75.69,july
4,1,crispy french fries,22.0,$85.08,july
4,1,lemonade,27.0,$76.64,july
4,1,chili pepper fried chicken（8）,7.0,$69.43,july
4,1,tangy honey mustard fried chicken (8),8.0,$77.46,july
4,1,vegetable tossed ramen,5.0,$67.24,july
4,1,sweet sesame ball (6) w. red bean,15.0,$71.72,july
4,1,golden kiwi (24oz),17.0,$76.02,july
4,1,wasabi spiced fried chicken(8),5.0,$59.95,july
4,1,wasabi spiced fried chicken (8),6.0,$59.94,july
4,1,mango milk tea (24oz),13.0,$59.73,july
4,1,brown sugar milk tea no boba (24oz),15.0,$56.89,july
4,1,thai milk tea no boba (24oz),17.0,$67.67,july
4,1,strawberry milk tea  (24oz),15.0,$67.07,july
4,1,house tossed ramen,4.0,$65.88,july
4,1,orange crush,15.0,$45.72,july
4,1,hot tea,18.0,$52.81,july
4,1,golden kiwi,12.0,$42.72,july
4,1,tangy honey mustard fried chicken(8),3.0,$35.97,july
4,1,plain fried rice,10.0,$38.87,july
5,1,pepsi zero,11.0,$32.51,july
5,1,chunked beef,7.0,$27.87,july
5,1,crispy french fries(lg),6.0,$26.34,july
5,1,bottled soda,17.0,$30.15,july
5,1,rice noodle,12.0,$18.35,july
5,1,pork bun (1),9.0,$19.91,july
5,1,ramen,13.0,$19.33,july
5,1,braised egg （2 half）,9.0,$17.66,july
5,1,house tossed rice noodle,1.0,$15.68,july
5,1,white rice-to go,4.0,$14.00,july
5,1,white rice - dine in,16.0,$15.80,july
5,1,chili pepper fried chicken (8),1.0,$11.99,july
5,1,shrimp (8),5.0,$14.88,july
5,1,bottled water,7.0,$13.70,july
5,1,chicken tender combo w fries and drink,1.0,$10.50,july
5,1,braised pork,3.0,$8.62,july
5,1,milkis,2.0,$7.18,july
5,1,unsweet tea,2.0,$7.18,july
5,1,white rice,3.0,$11.20,july
5,1,gift card,1.0,$5.99,july
5,1,open food,3.0,$5.75,july
5,1,ramune - melon,1.0,$3.59,july
6,1,starry,1.0,$3.59,july
6,1,ramune - strawberry,1.0,$3.59,july
6,1,coconut milk,1.0,$3.59,july
6,1,ramune - grape,1.0,$3.59,july
6,1,braised chicken,2.0,$6.58,july
6,1,mai‘s special sauce,2.0,$2.40,july
6,1,braised egg,2.0,$4.78,july
6,1,braised egg （2）,1.0,$1.89,july
6,1,mai‘s special sauce,2.0,$1.98,july
6,1,chunked pork - 5 days exp,2.0,$0.00,july
6,1,chinese bockchoy- 5 days exp,4.0,$0.00,july
6,1,braised chicken - 5 days exp,1.0,$0.00,july
6,1,sliced fruit  - 5 day expiration,26.0,$0.00,july
6,1,brew tea - 5 days exp,7.0,$0.00,july
6,1,ramune - orange,1.0,$3.59,july
1,1,beef ramen,328.0,"$5,032.52",august
1,1,lunch special,308.0,"$4,160.47",august
1,1,beef tossed ramen,214.0,"$3,166.60",august
1,1,mai's bf chicken cutlet combo,201.0,"$3,047.09",august
1,1,chicken ramen,181.0,"$2,613.36",august
1,1,pork ramen,173.0,"$2,413.66",august
1,1,beef tossed rice noodle,146.0,"$2,343.52",august
1,1,sichuan chili wontons,181.0,"$2,027.16",august
1,1,chicken rice noodle soup,132.0,"$1,922.45",august
1,1,beef rice noodle soup,123.0,"$1,889.06",august
1,1,house ramen,112.0,"$1,830.92",august
1,1,"mai's wing wheel (mai og, onion, honey, coco, special)",129.0,"$1,761.18",august
1,1,chicken tossed rice noodles,115.0,"$1,648.14",august
1,1,mai special fried chicken(8),157.0,"$1,538.48",august
1,1,pork tossed ramen,116.0,"$1,553.80",august
1,1,chicken fried rice,130.0,"$1,568.64",august
2,1,pork tossed rice noodle,100.0,"$1,355.56",august
2,1,chicken tossed ramen,101.0,"$1,439.54",august
2,1,steamed pork buns,233.0,"$1,190.88",august
2,1,shrimp fried rice,87.0,"$1,113.51",august
2,1,beef fried rice,75.0,$992.82,august
2,1,fried pork dumplings(10),108.0,$970.51,august
2,1,house rice noodle soup,61.0,$997.21,august
2,1,house fried rice,72.0,"$1,004.67",august
2,1,pork rice noodle soup,63.0,$889.57,august
2,1,steam pork dumplings(10),106.0,$948.27,august
2,1,vegetable ramen,50.0,$684.06,august
2,1,cream cheese rangoon(6),117.0,$716.65,august
2,1,brown sugar milk tea w. boba,149.0,$601.79,august
2,1,house tossed rice noodle,35.0,$560.46,august
2,1,citrus honey fried chicken  (8),53.0,$536.24,august
2,1,tempura shrimp(3),102.0,$487.66,august
2,1,mai's golden flake fried chicken(8),50.0,$533.85,august
2,1,crispy spring roll(3),132.0,$523.04,august
2,1,chili pepper fried chicken（8）,51.0,$509.24,august
2,1,thai milk tea w. boba,98.0,$433.74,august
2,1,house tossed ramen,27.0,$443.31,august
2,1,spicy cucumber salad,69.0,$378.50,august
3,1,mai bf chicken cutlet combo,20.0,$347.38,august
3,1,vegetable rice noodle soup,25.0,$355.64,august
3,1,vegetable fried rice,31.0,$361.06,august
3,1,pork fried rice,27.0,$344.44,august
3,1,jumbo chicken tenders combo (3),39.0,$378.75,august
3,1,golden coconut crunch chicken(8),33.0,$339.86,august
3,1,wonton soup,30.0,$328.39,august
3,1,crispy pork egg roll(3),75.0,$295.23,august
3,1,vegetable tossed rice noodle,24.0,$324.97,august
3,1,vegetable tossed ramen,22.0,$305.12,august
3,1,mai og fried chicken wings(4),51.0,$274.32,august
3,1,brown sugar rice cake (5),54.0,$289.82,august
3,1,dr. pepper,94.0,$279.40,august
3,1,pepsi zero,91.0,$260.31,august
3,1,pepsi,87.0,$253.94,august
3,1,tangy honey mustard fried chicken (8),28.0,$259.41,august
3,1,sweet ice tea,87.0,$247.16,august
3,1,sweet sesame ball (6) w. red bean,48.0,$223.93,august
3,1,strawberry sunrise,61.0,$249.01,august
3,1,mai's bf chicken cutlet,29.0,$218.02,august
3,1,onion glory fried chicken(8),23.0,$237.88,august
3,1,golden kiwi,49.0,$203.94,august
4,1,unsweet ice tea,69.0,$201.11,august
4,1,specialty drink,69.0,$203.14,august
4,1,mai buffalo chicken wings(8),22.0,$214.18,august
4,1,crispy french fries(lg),43.0,$168.35,august
4,1,lemonade,59.0,$175.02,august
4,1,mango milk tea,40.0,$190.20,august
4,1,strawberry milk tea,42.0,$186.52,august
4,1,steam pork bun （3）,16.0,$113.94,august
4,1,hot tea,35.0,$103.03,august
4,1,brown sugar milk tea,22.0,$99.33,august
4,1,strawberry jas-lemonade,23.0,$94.87,august
4,1,bf chicken cutlet combo,7.0,$92.50,august
4,1,mango jas-lemonade,17.0,$72.87,august
4,1,plain fried rice,18.0,$80.25,august
4,1,white rice - dine in,48.0,$73.59,august
4,1,starry - sprite,23.0,$67.46,august
4,1,matcha milk tea w. boba,16.0,$72.67,august
4,1,peach jas-lemonade,13.0,$58.69,august
4,1,jumbo chicken tenders(3),10.0,$61.24,august
4,1,original jas-lemonade,13.0,$58.29,august
4,1,gift card,5.0,$45.00,august
4,1,bottled soda,15.0,$42.74,august
5,1,ramen,17.0,$41.20,august
5,1,lychee jas-lemonade,10.0,$37.81,august
5,1,pork bun (3),6.0,$35.94,august
5,1,orange crush,13.0,$38.73,august
5,1,chunked beef,10.0,$39.28,august
5,1,rice noodle,15.0,$36.91,august
5,1,braised pork,9.0,$29.82,august
5,1,braised egg （2 half）,15.0,$26.30,august
5,1,thai milk tea,5.0,$24.37,august
5,1,white rice,9.0,$26.92,august
5,1,blueberry jas-lemonade,6.0,$20.52,august
5,1,ramune - strawberry,5.0,$18.23,august
5,1,bf chicken cutlet,2.0,$15.00,august
5,1,braised chicken,5.0,$14.20,august
5,1,chili pepper fried chicken (8),1.0,$11.99,august
5,1,tangy honey mustard fried chicken(8),1.0,$11.99,august
5,1,bottled water,7.0,$12.64,august
5,1,wasabi spiced fried chicken (8),1.0,$9.99,august
5,1,shrimp (8),4.0,$12.84,august
5,1,white rice-to go,3.0,$9.50,august
5,1,crispy french fries,2.0,$7.98,august
5,1,pepsi zero,2.0,$7.32,august
6,1,ramune - melon,2.0,$6.58,august
6,1,sweet tea,2.0,$5.98,august
6,1,jumbo chicken tender (3),1.0,$5.50,august
6,1,strawberry milk tea  (24oz),1.0,$5.50,august
6,1,tropical jas-lemonade,2.0,$3.80,august
6,1,coconut milk,1.0,$3.66,august
6,1,ramune - original,1.0,$3.59,august
6,1,brown sugar milk tea w. boba (24oz),1.0,$2.37,august
6,1,pork bun (1),1.0,$2.25,august
6,1,open food,1.0,$1.50,august
6,1,popping boba -,1.0,$1.00,august
6,1,mai‘s special sauce,1.0,$1.00,august
6,1,popping boba - -1,1.0,$0.00,august
6,1,sliced fruit  - 5 day expiration,17.0,$0.00,august
6,1,brew tea - 5 days exp,5.0,$0.00,august
6,1,braised chicken - 5 days exp,4.0,$0.00,august
6,1,chunked pork - 5 days exp,2.0,$0.00,august
6,1,chunked beef - 5 days exp,8.0,$0.00,august
6,1,braised egg,2.0,$3.89,august
1,1,beef ramen,362.0,"$5,626.37",september
1,1,lunch special,398.0,"$5,606.57",september
1,1,mai's bf chicken cutlet combo,285.0,"$4,312.18",september
1,1,pork ramen,242.0,"$3,360.22",september
1,1,chicken ramen,205.0,"$2,976.79",september
1,1,beef tossed ramen,188.0,"$2,867.41",september
1,1,beef tossed rice noodle,154.0,"$2,519.72",september
1,1,mai special fried chicken(8),210.0,"$2,225.58",september
1,1,sichuan chili wontons,185.0,"$2,054.87",september
1,1,house ramen,119.0,"$1,972.32",september
1,1,"mai's wing wheel (mai og, onion, honey, coco, special)",144.0,"$1,968.55",september
1,1,chicken rice noodle soup,133.0,"$1,961.81",september
1,1,chicken fried rice,148.0,"$1,849.24",september
1,1,beef rice noodle soup,115.0,"$1,807.11",september
1,1,pork tossed ramen,137.0,"$1,810.77",september
1,1,pork tossed rice noodle,115.0,"$1,563.27",september
2,1,chicken tossed rice noodles,104.0,"$1,523.75",september
2,1,steamed pork buns,321.0,"$1,423.98",september
2,1,pork rice noodle soup,95.0,"$1,299.33",september
2,1,chicken tossed ramen,98.0,"$1,399.24",september
2,1,house rice noodle soup,81.0,"$1,301.92",september
2,1,house fried rice,84.0,"$1,206.15",september
2,1,shrimp fried rice,84.0,"$1,112.14",september
2,1,fried pork dumplings(10),111.0,"$1,013.36",september
2,1,steam pork dumplings(10),116.0,"$1,011.17",september
2,1,cream cheese rangoon(6),148.0,$938.89,september
2,1,beef fried rice,63.0,$831.05,september
2,1,brown sugar milk tea w. boba,169.0,$734.42,september
2,1,thai milk tea w. boba,160.0,$716.20,september
2,1,vegetable fried rice,32.0,$672.43,september
2,1,crispy spring roll(3),133.0,$674.23,september
2,1,vegetable ramen,49.0,$679.60,september
2,1,house tossed rice noodle,39.0,$646.75,september
2,1,mai's golden flake fried chicken(8),56.0,$596.99,september
2,1,house tossed ramen,35.0,$568.00,september
2,1,wonton soup,48.0,$538.02,september
2,1,pork fried rice,40.0,$534.80,september
2,1,citrus honey fried chicken  (8),48.0,$489.69,september
3,1,golden coconut crunch chicken(8),45.0,$454.18,september
3,1,tempura shrimp(3),95.0,$473.75,september
3,1,vegetable rice noodle soup,30.0,$440.89,september
3,1,chili pepper fried chicken（8）,44.0,$449.47,september
3,1,spicy cucumber salad,75.0,$412.16,september
3,1,vegetable tossed rice noodle,29.0,$391.93,september
3,1,matcha milk tea w. boba,81.0,$397.22,september
3,1,mango milk tea,81.0,$383.84,september
3,1,mai's bf chicken cutlet,54.0,$384.46,september
3,1,strawberry sunrise,91.0,$371.18,september
3,1,mai bf chicken cutlet combo,22.0,$386.37,september
3,1,brown sugar rice cake (5),68.0,$363.09,september
3,1,vegetable tossed ramen,25.0,$335.76,september
3,1,mai og fried chicken wings(4),56.0,$305.06,september
3,1,golden kiwi,68.0,$308.61,september
3,1,pepsi,98.0,$288.33,september
3,1,crispy pork egg roll(3),72.0,$294.48,september
3,1,onion glory fried chicken(8),28.0,$283.72,september
3,1,jumbo chicken tenders combo (3),26.0,$272.32,september
3,1,mai buffalo chicken wings(8),27.0,$274.23,september
3,1,dr. pepper,87.0,$257.85,september
3,1,sweet ice tea,78.0,$231.16,september
4,1,steam pork bun （3）,33.0,$223.69,september
4,1,specialty drink,71.0,$205.59,september
4,1,crispy french fries(lg),52.0,$207.76,september
4,1,sweet sesame ball (6) w. red bean,43.0,$211.83,september
4,1,tangy honey mustard fried chicken (8),18.0,$181.85,september
4,1,pepsi zero,61.0,$180.29,september
4,1,strawberry milk tea,39.0,$186.22,september
4,1,unsweet ice tea,48.0,$141.77,september
4,1,braised chicken,4.0,$109.59,september
4,1,lemonade,38.0,$111.42,september
4,1,jumbo chicken tenders(3),18.0,$109.98,september
4,1,chunked beef,8.0,$106.24,september
4,1,hot tea,37.0,$109.19,september
4,1,lychee jas-lemonade,23.0,$102.87,september
4,1,plain fried rice,25.0,$103.28,september
4,1,mango jas-lemonade,21.0,$88.84,september
4,1,strawberry jas-lemonade,24.0,$93.51,september
4,1,white rice,27.0,$80.94,september
4,1,starry - sprite,22.0,$64.64,september
4,1,white rice - dine in,42.0,$62.75,september
4,1,orange crush,18.0,$47.42,september
4,1,rice noodle,17.0,$45.55,september
5,1,bottled soda,12.0,$35.81,september
5,1,original jas-lemonade,7.0,$32.30,september
5,1,peach jas-lemonade,7.0,$30.52,september
5,1,ramen,13.0,$32.18,september
5,1,braised egg （2 half）,16.0,$27.74,september
5,1,pepsi zero,6.0,$21.96,september
5,1,blueberry jas-lemonade,5.0,$24.73,september
5,1,braised pork,4.0,$12.68,september
5,1,tropical jas-lemonade,3.0,$12.62,september
5,1,ramune - grape,3.0,$10.98,september
5,1,ramune - strawberry,3.0,$10.98,september
5,1,北冰洋 orange soda,2.0,$7.32,september
5,1,braised egg,3.0,$6.42,september
5,1,mai‘s special sauce,5.0,$6.15,september
5,1,bottled water,3.0,$5.25,september
5,1,sweet tea,1.0,$3.66,september
5,1,ramune - melon,1.0,$3.66,september
5,1,white rice-to go,2.0,$4.50,september
5,1,mai‘s special sauce,1.0,$1.00,september
5,1,sliced fruit  - 5 day expiration,1.0,$0.00,september
5,1,house tossed rice noodle,1.0,$15.99,september
1,1,beef ramen,357.0,"$5,600.47",october
1,1,lunch special,366.0,"$5,149.01",october
