Month_Label,Date,Ingredient,Forecasted_Usage_Original_Unit,Constraint_Unit,Forecast_LBS_or_Count,Monthly_Supply_Constraint,Shortfall_Surplus,Action_Required
Dec,2025-12-31,Cilantro,56712.30756681899,lbs,56712.30756681899,43.3,-56669.00756681899,⚠️ SHORTFALL: Order More
May,2025-05-01,Egg(count),1948.9449359215405,eggs,1948.9449359215405,2598.0,649.0550640784595,Historical Data
Jun,2025-06-01,Egg(count),2010.692179994017,eggs,2010.692179994017,2598.0,587.3078200059831,Historical Data
Jul,2025-07-01,Egg(count),2072.3096065874192,eggs,2072.3096065874192,2598.0,525.6903934125808,Historical Data
Aug,2025-08-01,Egg(count),2137.965338699856,eggs,2137.965338699856,2598.0,460.03466130014385,Historical Data
Sep,2025-09-01,Egg(count),2205.7012022049194,eggs,2205.7012022049194,2598.0,392.29879779508065,Historical Data
Oct,2025-10-01,Egg(count),2273.2946579853356,eggs,2273.2946579853356,2598.0,324.70534201466444,Historical Data
Oct,2025-10-31,Egg(count),2342.9595073252094,eggs,2342.9595073252094,2598.0,255.04049267479058,✅ Sufficient Supply
Nov,2025-11-30,Egg(count),2414.7592278382917,eggs,2414.7592278382917,2598.0,183.24077216170826,✅ Sufficient Supply
Dec,2025-12-31,Egg(count),2491.264584821265,eggs,2491.264584821265,2598.0,106.73541517873491,✅ Sufficient Supply
May,2025-05-01,Green Onion,63420.953395383134,,63420.953395383134,,,Historical Data
Jun,2025-06-01,Green Onion,64490.26279146548,,64490.26279146548,,,Historical Data
Jul,2025-07-01,Green Onion,65542.2413469106,,65542.2413469106,,,Historical Data
Aug,2025-08-01,Green Onion,66647.3167303092,,66647.3167303092,,,Historical Data
Sep,2025-09-01,Green Onion,67771.0242615662,,67771.0242615662,,,Historical Data
Oct,2025-10-01,Green Onion,68876.51928700865,,68876.51928700865,,,Historical Data
Oct,2025-10-31,Green Onion,70000.04737694416,,70000.04737694416,,,Historical Data
Nov,2025-11-30,Green Onion,71141.90269046689,,71141.90269046689,,,Historical Data
Dec,2025-12-31,Green Onion,72341.39121848538,,72341.39121848538,,,Historical Data
May,2025-05-01,Peas(g),6917.303826975083,lbs,15.250056938779968,519.6,504.3499430612201,Historical Data
Jun,2025-06-01,Peas(g),7028.2121235620225,lbs,15.49456807783652,519.6,504.1054319221635,Historical Data
Jul,2025-07-01,Peas(g),7137.235561023143,lbs,15.734923810435687,519.6,503.8650761895643,Historical Data
Aug,2025-08-01,Peas(g),7251.670114737081,lbs,15.987209022066265,519.6,503.61279097793374,Historical Data
Sep,2025-09-01,Peas(g),7367.939454778183,lbs,16.24353924843953,519.6,503.3564607515605,Historical Data
Oct,2025-10-01,Peas(g),7482.232832372803,lbs,16.495513219749917,519.6,503.1044867802501,Historical Data
Oct,2025-10-31,Peas(g),7598.299158325938,lbs,16.751395876307207,519.6,502.84860412369284,✅ Sufficient Supply
Nov,2025-11-30,Peas(g),7716.165935069895,lbs,17.011247850645283,519.6,502.5887521493547,✅ Sufficient Supply
Dec,2025-12-31,Peas(g),7839.882748813942,lbs,17.28399695941274,519.6,502.3160030405873,✅ Sufficient Supply
May,2025-05-01,Pickle Cabbage,64843.0413836159,,64843.0413836159,,,Historical Data
Jun,2025-06-01,Pickle Cabbage,61146.415581615576,,61146.415581615576,,,Historical Data
Jul,2025-07-01,Pickle Cabbage,57769.813914399274,,57769.813914399274,,,Historical Data
Aug,2025-08-01,Pickle Cabbage,54476.42818828553,,54476.42818828553,,,Historical Data
Sep,2025-09-01,Pickle Cabbage,51370.79589809574,,51370.79589809574,,,Historical Data
Oct,2025-10-01,Pickle Cabbage,48534.023626010145,,48534.023626010145,,,Historical Data
Oct,2025-10-31,Pickle Cabbage,45853.90216656979,,45853.90216656979,,,Historical Data
Nov,2025-11-30,Pickle Cabbage,43321.78102733176,,43321.78102733176,,,Historical Data
Dec,2025-12-31,Pickle Cabbage,40852.06106768249,,40852.06106768249,,,Historical Data
May,2025-05-01,Ramen (count),1689.1125382435575,rolls,1689.1125382435575,3247.5,1558.3874617564425,Historical Data
Jun,2025-06-01,Ramen (count),1719.2861932177225,rolls,1719.2861932177225,3247.5,1528.2138067822775,Historical Data
Jul,2025-07-01,Ramen (count),1748.9996165995644,rolls,1748.9996165995644,3247.5,1498.5003834004356,Historical Data
Aug,2025-08-01,Ramen (count),1780.243071499085,rolls,1780.243071499085,3247.5,1467.256928500915,Historical Data
Sep,2025-09-01,Ramen (count),1812.044648456459,rolls,1812.044648456459,3247.5,1435.455351543541,Historical Data
Oct,2025-10-01,Ramen (count),1843.3611630931441,rolls,1843.3611630931441,3247.5,1404.1388369068559,Historical Data
Oct,2025-10-31,Ramen (count),1875.218902853519,rolls,1875.218902853519,3247.5,1372.281097146481,✅ Sufficient Supply
Nov,2025-11-30,Ramen (count),1907.6272214168746,rolls,1907.6272214168746,3247.5,1339.8727785831254,✅ Sufficient Supply
Dec,2025-12-31,Ramen (count),1941.7043397941904,rolls,1941.7043397941904,3247.5,1305.7956602058096,✅ Sufficient Supply
May,2025-05-01,Rice Noodles(g),235467.1030477889,,235467.1030477889,,,Historical Data
Jun,2025-06-01,Rice Noodles(g),239487.4721622198,,239487.4721622198,,,Historical Data
Jul,2025-07-01,Rice Noodles(g),243443.49707930186,,243443.49707930186,,,Historical Data
Aug,2025-08-01,Rice Noodles(g),247600.05451215952,,247600.05451215952,,,Historical Data
Sep,2025-09-01,Rice Noodles(g),251827.58052339187,,251827.58052339187,,,Historical Data
Oct,2025-10-01,Rice Noodles(g),255987.4479249398,,255987.4479249398,,,Historical Data
Oct,2025-10-31,Rice Noodles(g),260216.03098012065,,260216.03098012065,,,Historical Data
Nov,2025-11-30,Rice Noodles(g),264514.46478306083,,264514.46478306083,,,Historical Data
Dec,2025-12-31,Rice Noodles(g),269030.7876183721,,269030.7876183721,,,Historical Data
May,2025-05-01,Rice(g),243355.58591285834,lbs,536.5076674916188,433.0,-103.5076674916188,Historical Data
Jun,2025-06-01,Rice(g),246786.27343792465,lbs,544.0710449873999,433.0,-111.07104498739989,Historical Data
Jul,2025-07-01,Rice(g),250152.33677842715,lbs,551.491950427757,433.0,-118.49195042775705,Historical Data
Aug,2025-08-01,Rice(g),253678.84418898125,lbs,559.2665747830237,433.0,-126.26657478302366,Historical Data
Sep,2025-09-01,Rice(g),257255.068627106,lbs,567.1508065113715,433.0,-134.15080651137146,Historical Data
Oct,2025-10-01,Rice(g),260763.92614060975,lbs,574.8865194725872,433.0,-141.88651947258722,Historical Data
Oct,2025-10-31,Rice(g),264320.64308450645,lbs,582.7277445027833,433.0,-149.72774450278325,⚠️ SHORTFALL: Order More
Nov,2025-11-30,Rice(g),267925.87224252045,lbs,590.6759207448995,433.0,-157.67592074489949,⚠️ SHORTFALL: Order More
Dec,2025-12-31,Rice(g),271702.9434247193,lbs,599.0029441099476,433.0,-166.00294410994763,⚠️ SHORTFALL: Order More
May,2025-05-01,Tapioca Starch,2759.8323206485347,,2759.8323206485347,,,Historical Data
Jun,2025-06-01,Tapioca Starch,4396.904740941477,,4396.904740941477,,,Historical Data
Jul,2025-07-01,Tapioca Starch,6900.598510544894,,6900.598510544894,,,Historical Data
Aug,2025-08-01,Tapioca Starch,10993.883239722007,,10993.883239722007,,,Historical Data
Sep,2025-09-01,Tapioca Starch,17515.21530664804,,17515.21530664804,,,Historical Data
Oct,2025-10-01,Tapioca Starch,27488.762151121453,,27488.762151121453,,,Historical Data
Oct,2025-10-31,Tapioca Starch,43141.46479912955,,43141.46479912955,,,Historical Data
Nov,2025-11-30,Tapioca Starch,67707.15883030745,,67707.15883030745,,,Historical Data
Dec,2025-12-31,Tapioca Starch,107869.57063810331,,107869.57063810331,,,Historical Data
May,2025-05-01,White onion,13899.571956173917,,13899.571956173917,,,Historical Data
Jun,2025-06-01,White onion,14087.00525472444,,14087.00525472444,,,Historical Data
Jul,2025-07-01,White onion,14270.798498293116,,14270.798498293116,,,Historical Data
Aug,2025-08-01,White onion,14463.237728787635,,14463.237728787635,,,Historical Data
Sep,2025-09-01,White onion,14658.271962401981,,14658.271962401981,,,Historical Data
Oct,2025-10-01,White onion,14849.518520031714,,14849.518520031714,,,Historical Data
Oct,2025-10-31,White onion,15043.260272586105,,15043.260272586105,,,Historical Data
Nov,2025-11-30,White onion,15239.529774887575,,15239.529774887575,,,Historical Data
Dec,2025-12-31,White onion,15445.032171102239,,15445.032171102239,,,Historical Data
May,2025-05-01,braised beef used (g),219216.63561870388,lbs,483.2903481955235,519.6,36.309651804476516,Historical Data
Jun,2025-06-01,braised beef used (g),219098.1607217934,lbs,483.0291555446159,519.6,36.57084445538413,Historical Data
Jul,2025-07-01,braised beef used (g),218983.5687736856,lbs,482.776523337461,519.6,36.82347666253901,Historical Data
Aug,2025-08-01,braised beef used (g),218865.23065454862,lbs,482.515632230173,519.6,37.084367769827,Historical Data
Sep,2025-09-01,braised beef used (g),218746.9564704627,lbs,482.25488207565985,519.6,37.34511792434017,Historical Data
Oct,2025-10-01,braised beef used (g),218632.55843863383,lbs,482.00267738106896,519.6,37.59732261893106,Historical Data
Oct,2025-10-31,braised beef used (g),218518.22023351022,lbs,481.75060458189347,519.6,37.84939541810655,✅ Sufficient Supply
Nov,2025-11-30,braised beef used (g),218403.94182380466,lbs,481.49866360915684,519.6,38.10133639084319,✅ Sufficient Supply
Dec,2025-12-31,braised beef used (g),218285.91691896622,lbs,481.23846302176014,519.6,38.36153697823988,✅ Sufficient Supply
May,2025-05-01,chicken thigh (pcs),46.57874091323153,,46.57874091323153,,,Historical Data
Jun,2025-06-01,chicken thigh (pcs),73.93648527572186,,73.93648527572186,,,Historical Data
Jul,2025-07-01,chicken thigh (pcs),115.62629201268284,,115.62629201268284,,,Historical Data
Aug,2025-08-01,chicken thigh (pcs),183.5387017729037,,183.5387017729037,,,Historical Data
Sep,2025-09-01,chicken thigh (pcs),291.3390584864731,,291.3390584864731,,,Historical Data
Oct,2025-10-01,chicken thigh (pcs),455.6134218437665,,455.6134218437665,,,Historical Data
Oct,2025-10-31,chicken thigh (pcs),712.5154836519259,,712.5154836519259,,,Historical Data
Nov,2025-11-30,chicken thigh (pcs),1114.2742731091535,,1114.2742731091535,,,Historical Data
Dec,2025-12-31,chicken thigh (pcs),1768.736590634676,,1768.736590634676,,,Historical Data
May,2025-05-01,flour (g),16109.389050537982,lbs,35.515152495057194,100.0,64.4848475049428,Historical Data
Jun,2025-06-01,flour (g),15645.35138729114,lbs,34.49212373077819,100.0,65.50787626922181,Historical Data
Jul,2025-07-01,flour (g),15209.013628348519,lbs,33.530162851965024,100.0,66.46983714803497,Historical Data
Aug,2025-08-01,flour (g),14770.911664733572,lbs,32.56431256444905,100.0,67.43568743555096,Historical Data
Sep,2025-09-01,flour (g),14345.429477927259,lbs,31.626284145062655,100.0,68.37371585493734,Historical Data
Oct,2025-10-01,flour (g),13945.345689395965,lbs,30.74424965474692,100.0,69.25575034525308,Historical Data
Oct,2025-10-31,flour (g),13556.419952151422,lbs,29.886814476779623,100.0,70.11318552322038,✅ Sufficient Supply
Nov,2025-11-30,flour (g),13178.341076107763,lbs,29.053292553898135,100.0,70.94670744610187,✅ Sufficient Supply
Dec,2025-12-31,flour (g),12798.733540241903,lbs,28.216400510242472,100.0,71.78359948975753,✅ Sufficient Supply
